code,name_ar,name_en,account_class,account_level,normal_balance,statement,cash_flow_class,is_postable,is_control_account,control_subledger,requires_cost_centre,is_reconcilable
1,الموجودات,Assets,asset,1,D,BS,,0,0,,0,0
2,المطلوبات,Liabilities,liability,1,C,BS,,0,0,,0,0
3,الاستخدامات,Uses,use,1,D,RESULT,,0,0,,0,0
4,الموارد,Resources,resource,1,C,RESULT,,0,0,,0,0
11,الموجودات الثابتة,Fixed assets,asset,2,D,BS,investing,0,0,,0,0
12,مشروعات تحت التنفيذ,Projects under execution,asset,2,D,BS,investing,0,0,,0,0
13,المخزون,Inventory,asset,2,D,BS,operating,0,0,,0,0
14,القروض الممنوحة,Loans granted,asset,2,D,BS,investing,0,0,,0,0
15,الاستثمارات المالية,Financial investments,asset,2,D,BS,investing,0,0,,0,0
16,المدينون,Debtors,asset,2,D,BS,operating,0,0,,0,0
18,النقود,Cash,asset,2,D,BS,operating,0,0,,0,1
19,الحسابات المتقابلة المدينة,Contra accounts - debit,asset,2,D,MEMO,none,0,0,,0,1
21,رأس المال,Capital,liability,2,C,BS,financing,0,0,,0,0
22,الاحتياطيات,Reserves,liability,2,C,BS,financing,0,0,,0,0
23,التخصيصات,Provisions,liability,2,C,BS,operating,0,0,,0,0
24,القروض المستلمة,Loans received,liability,2,C,BS,financing,0,0,,0,0
25,المصارف الدائنة,Banks - credit,liability,2,C,BS,operating,0,0,,0,0
26,الدائنون,Creditors,liability,2,C,BS,operating,0,0,,0,0
28,حساب العمليات الجارية,Current operations account,liability,2,C,BS,operating,0,0,,0,0
29,الحسابات المتقابلة الدائنة,Contra accounts - credit,liability,2,C,MEMO,none,0,0,,0,1
31,رواتب وإجور,Salaries and wages,use,2,D,RESULT,operating,0,0,,0,0
32,المستلزمات السلعية,Commodity requisites,use,2,D,RESULT,operating,0,0,,0,0
33,المستلزمات الخدمية,Service requisites,use,2,D,RESULT,operating,0,0,,0,0
34,مقاولات وخدمات,Contracts and services,use,2,D,RESULT,operating,0,0,,0,0
35,مشتريات البضائع والأراضي بغرض البيع,Purchases of goods and land for resale,use,2,D,RESULT,operating,0,0,,0,0
36,الفوائد واستئجار الأراضي,Interest paid and land rental,use,2,D,RESULT,financing,0,0,,0,0
37,الاندثار,Depreciation,use,2,D,RESULT,operating,0,0,,0,0
38,المصروفات التحويلية,Transfer expenditure,use,2,D,RESULT,operating,0,0,,0,0
39,المصروفات الأخرى,Other expenses,use,2,D,RESULT,operating,0,0,,0,0
41,إيراد النشاط السلعي,Commodity production revenue,resource,2,C,RESULT,operating,0,0,,0,0
42,إيراد النشاط التجاري,Trading revenue,resource,2,C,RESULT,operating,0,0,,0,0
43,إيراد النشاط الخدمي,Service revenue,resource,2,C,RESULT,operating,0,0,,0,0
44,إيراد التشغيل للغير,Revenue from operating for third parties,resource,2,C,RESULT,operating,0,0,,0,0
45,كلفة الموجودات المصنعة داخلياً,Cost of internally manufactured assets,resource,2,C,RESULT,investing,0,0,,0,0
46,فوائد وإيجارات الأراضي,Interest received and land rents,resource,2,C,RESULT,financing,0,0,,0,0
47,الإعانات,Subsidies,resource,2,C,RESULT,financing,0,0,,0,0
48,الإيرادات التحويلية,Transfer revenue,resource,2,C,RESULT,operating,0,0,,0,0
49,الإيرادات الأخرى,Other revenue,resource,2,C,RESULT,operating,0,0,,0,0
111,أراضي,,asset,3,D,BS,investing,0,1,fixed_assets,0,0
112,مباني وإنشاءات وطرق,,asset,3,D,BS,investing,0,1,fixed_assets,0,0
113,آلات ومعدات,,asset,3,D,BS,investing,1,1,fixed_assets,0,0
114,وسائط نقل وانتقال,,asset,3,D,BS,investing,0,1,fixed_assets,0,0
115,عدد وقوالب,,asset,3,D,BS,investing,0,1,fixed_assets,0,0
116,أثاث وأجهزة مكاتب,,asset,3,D,BS,investing,0,1,fixed_assets,0,0
117,الموجودات الحية لأغراض العرض والإنتاج,,asset,3,D,BS,investing,0,0,,0,0
118,نفقات إيرادية مؤجلة,,asset,3,D,BS,investing,0,0,,0,0
121,أراضي,,asset,3,D,BS,investing,0,0,,0,0
122,مباني وإنشاءات وطرق,,asset,3,D,BS,investing,0,0,,0,0
123,آلات ومعدات,,asset,3,D,BS,investing,1,0,,0,0
124,وسائط نقل وانتقال,,asset,3,D,BS,investing,0,0,,0,0
125,عدد وقوالب,,asset,3,D,BS,investing,0,0,,0,0
126,أثاث وأجهزة مكاتب,,asset,3,D,BS,investing,0,0,,0,0
127,الموجودات الحية لأغراض العرض والإنتاج,,asset,3,D,BS,investing,0,0,,0,0
128,نفقات إيرادية مؤجلة,,asset,3,D,BS,investing,0,0,,0,0
129,أنفاق استثماري,,asset,3,D,BS,investing,0,0,,0,0
131,مخزون الخامات والمواد الأولية,,asset,3,D,BS,operating,1,1,inventory,0,0
132,مخزون الوقود والزيوت,,asset,3,D,BS,operating,1,1,inventory,0,0
133,مخزون الأدوات الاحتياطية,,asset,3,D,BS,operating,1,1,inventory,0,0
134,مخزون مواد التعبئة والتغليف,,asset,3,D,BS,operating,0,1,inventory,0,0
135,مخزون المتنوعات,,asset,3,D,BS,operating,0,1,inventory,0,0
136,مخزون الإنتاج,,asset,3,D,BS,operating,0,1,inventory,0,0
137,مخزون البضائع والأراضي بغرض البيع,,asset,3,D,BS,operating,0,0,,0,0
138,اعتمادات مستندية لشراء مواد,,asset,3,D,BS,operating,0,0,,0,0
139,مخزون المواد الأخرى,,asset,3,D,BS,operating,0,0,,0,0
141,قروض ممنوحة طويلة الأجل,,asset,3,D,BS,investing,0,0,,0,0
142,قروض ممنوحة قصيرة الأجل,,asset,3,D,BS,investing,0,0,,0,0
151,استثمارات طويلة الأجل,,asset,3,D,BS,investing,0,0,,0,0
152,استثمارات قصيرة الأجل,,asset,3,D,BS,investing,0,0,,0,0
161,مدينون تجاريون,,asset,3,D,BS,operating,0,1,receivables,0,0
162,أوراق قبض,,asset,3,D,BS,operating,0,0,,0,0
163,حسابات جارية مدينة,,asset,3,D,BS,operating,0,0,,0,0
164,سلف التعهدات الثانوية,,asset,3,D,BS,operating,1,0,,0,0
165,مدينو النشاط غير الجاري,,asset,3,D,BS,operating,1,0,,0,0
166,حسابات مدينة متنوعة,,asset,3,D,BS,operating,0,0,,0,0
167,سلف,,asset,3,D,BS,operating,0,0,,0,0
181,نقدية بالصندوق,,asset,3,D,BS,operating,0,0,,0,1
182,سلف مستديمة,,asset,3,D,BS,operating,1,0,,0,1
183,نقدية لدى المصارف,,asset,3,D,BS,operating,1,0,,0,1
184,نقدية لدى الخزائن,,asset,3,D,BS,operating,1,0,,0,1
185,صكوك وحوالات,,asset,3,D,BS,operating,0,0,,0,1
191,حركة الإنتاج التام بسعر البيع,,asset,3,D,MEMO,none,1,0,,0,1
192,حسابات الالتزامات المدينة,,asset,3,D,MEMO,none,0,0,,0,1
193,حسابات بالقيمة الرمزية,,asset,3,D,MEMO,none,1,0,,0,1
194,حسابات النتيجة المدينة,,asset,3,D,MEMO,none,0,0,,0,1
195,موجودات أثرية وفنية,,asset,3,D,MEMO,none,1,0,,0,1
211,رأس المال المدفوع,,liability,3,C,BS,financing,1,0,,0,0
212,رأس المال (صافي الموجودات),,liability,3,C,BS,financing,1,0,,0,0
213,راس المال المتبرع به,,liability,3,C,BS,financing,1,0,,0,0
221,احتياطيات رأسمالية,,liability,3,C,BS,financing,0,0,,0,0
222,احتياطي عام,,liability,3,C,BS,financing,1,0,,0,0
223,احتياطيات متنوعة,,liability,3,C,BS,financing,1,0,,0,0
224,الفائض المتراكم,,liability,3,C,BS,financing,1,0,,0,0
225,العجز المتراكم,,liability,3,C,BS,financing,1,0,,0,0
231,مخصص الاندثار المتراكم,,liability,3,C,BS,operating,0,0,,0,0
232,مخصص الديون المشكوك في تحصيلها,,liability,3,C,BS,operating,1,0,,0,0
234,مخصص مصروفات الشراء,,liability,3,C,BS,operating,1,0,,0,0
235,مخصص خسائر متوقعة لمشاريع قيد الإنجاز,,liability,3,C,BS,operating,1,0,,0,0
236,مخصص مصاريف الصيانة المحتملة,,liability,3,C,BS,operating,1,0,,0,0
237,مخصص هبوط أسعار المخزون السلعي,,liability,3,C,BS,operating,1,0,,0,0
238,مخصص هبوط الاستثمارات المالية,,liability,3,C,BS,operating,1,0,,0,0
