"Account Code","Account Name (EN)","Account Name (AR)","Account Type","Parent Account","Parent Name",Level,"Posting / Non-Posting","Active / Inactive","Normal Balance","FS Line","Reporting Group","Cash / Bank","Control Account (subledger)","Counterparty Required","Advance Holder Required"
111001,"Administrative Cash Box","صندوق نقدي إداري",Asset,111000,"Cash & Banks",2,Posting,Active,Dr,SFP-A-010,"Cash & Banks",Yes,,,
111002,"Yousfia exchane yard  Project Safe","خزنة مشروع ساحة التبادل ( اليوسفية )",Asset,111000,"Cash & Banks",2,Posting,Active,Dr,SFP-A-010,"Cash & Banks",Yes,,,
111003,"Rashdia exchange yard safe  Project Safe","خزنة مشروع ساحة التبادل ( الراشدية )",Asset,111000,"Cash & Banks",2,Posting,Active,Dr,SFP-A-010,"Cash & Banks",Yes,,,
111010,"Bank Account – Main","حساب مصرفي - رئيسي",Asset,111000,"Cash & Banks",2,Posting,Active,Dr,SFP-A-010,"Cash & Banks",Yes,,,
111011,"Bank Account – Secondary","حساب مصرفي - ثانوي",Asset,111000,"Cash & Banks",2,Posting,Active,Dr,SFP-A-010,"Cash & Banks",Yes,,,
111020,"Cash in Transit","نقد قيد التحويل",Asset,111000,"Cash & Banks",2,Posting,Active,Dr,SFP-A-010,"Cash & Banks",Yes,,,
111030,"Petty Cash","مصروف نثري (سلفة مستديمة)",Asset,111000,"Cash & Banks",2,Posting,Active,Dr,SFP-A-010,"Cash & Banks",Yes,,,
111040,"Undeposited Collections","متحصلات غير مودعة",Asset,111000,"Cash & Banks",2,Posting,Active,Dr,SFP-A-010,"Cash & Banks",Yes,,,
112001,"Trade Receivables","ذمم مدينة تجارية",Asset,112000,"Receivables & Advances",2,Posting,Active,Dr,SFP-A-020,"Receivables & Advances",,,Yes,
112010,"Employee Advances","سلف الموظفين",Asset,112000,"Receivables & Advances",2,Posting,Active,Dr,SFP-A-020,"Receivables & Advances",,"Employee advances",Yes,Yes
112020,"Contractor Advances","سلف المقاولين",Asset,112000,"Receivables & Advances",2,Posting,Active,Dr,SFP-A-020,"Receivables & Advances",,"Contractor advances",Yes,Yes
112021,"Supplier Advances","سلف الموردين",Asset,112000,"Receivables & Advances",2,Posting,Active,Dr,SFP-A-020,"Receivables & Advances",,"Supplier advances",Yes,Yes
112030,"Advance – Abdul Hamid Hailan Hoshy ( Abo sajad )","سلفة عبد الحميد هيلان حوشي ( أبو سجاد )",Asset,112000,"Receivables & Advances",2,Posting,Active,Dr,SFP-A-020,"Receivables & Advances",,"Custodian advance — Abdul Hamid",Yes,Yes
112031,"Advance – Abdul Hamid Haylan (Operating)","سلفة عبد الحميد حيلان (تشغيل)",Asset,112000,"Receivables & Advances",2,Posting,Inactive,Dr,SFP-A-020,"Receivables & Advances",,,,
112032,"Advance – Abdul Hamid Haylan (Administrative)","سلفة عبد الحميد حيلان (إدارية)",Asset,112000,"Receivables & Advances",2,Posting,Active,Dr,SFP-A-020,"Receivables & Advances",,"Custodian advance — Abdul Hamid (administrative)",Yes,Yes
112035,"Advance – Yas Jassim Muslem ( Abo Ahmed)","سلفة ياس جاسم مسلم ( أبو احمد )",Asset,112000,"Receivables & Advances",2,Posting,Active,Dr,SFP-A-020,"Receivables & Advances",,"Custodian advance — Yas Jassim",Yes,Yes
