Level,Field,"Arabic Label","English Label",Origin,Obligation,Validation,"Source column"
Header,journal_id,"معرّف القيد","Journal ID",System,Required,"Surrogate primary key",—
Header,jv_no,"رقم القيد","Journal Entry No.",System,Required,"Unique per company and year","File 1 col A"
Header,pv_no,"رقم سند الصرف","Payment Voucher No.",User,Conditional,"Required on disbursements","File 2 col C"
Header,rv_no,"رقم سند القبض","Receipt Voucher No.",User,Conditional,"Required on collections","File 2 col D"
Header,txn_date,"تاريخ الحركة","Transaction Date",User,Conditional,"Nullable only where date_status says the source has no date","File 1 col B"
Header,posting_date,"تاريخ الترحيل","Posting Date","System / User",Required,"Must fall inside an open period","File 2 col F"
Header,period_id,الفترة,"Accounting Period",System,Required,"Derived from the posting date","File 2 cols G, H"
Header,company_id,الكيان,Entity,System,Required,SHH-01,"File 2 col I"
Header,txn_type_code,"نوع الحركة","Transaction Type",User,Required,"One of the 39 approved types","New — RE-01"
Header,description_ar,البيان,"Description (AR)",User,Required,"Preserved verbatim for migrated entries","File 1 col F"
Header,description_en,"البيان (إنجليزي)","Description (EN)",User,Optional,—,"File 2 col AE"
Header,source_presence,"مصدر الحركة","Source Presence",Migration,Conditional,"Required on migrated entries","File 1 col P"
Header,source_reference,"مرجع المصدر","Source Reference","Migration / User",Conditional,"Required on migrated entries","File 1 col Q"
Header,source_file,"ملف المصدر","Source File",Migration,Conditional,Immutable,"File 2 col AC"
Header,source_row,"صف المصدر","Source Row",Migration,Conditional,Immutable,"File 2 col AD"
Header,date_status,"حالة التاريخ","Date Status","User / Migration",Required,"One of four approved values","File 1 col N"
Header,doc_status,"حالة المستند","Document Status",User,Required,"Partial and Missing raise an exception","File 2 col AH"
Header,recon_status,"حالة المطابقة","Reconciliation Status","System / User",Conditional,"One of nine approved values","File 1 col R"
Header,status,"حالة القيد","Journal Status",System,Required,"Workflow controlled","File 2 col AG"
Header,is_migration,"قيد ترحيل","Migration Entry",System,Required,"Cannot be set after go-live","New — VR-54"
Header,reversal_of_journal_id,"عكس للقيد","Reversal Of",System,Conditional,"Set on reversal entries","New — RE-16"
Header,linked_journal_id,"القيد الأصلي المرتبط","Linked Original JV",User,Optional,"Chain and reclassification links","File 1 col AB"
Header,"created_by / at","أنشئ بواسطة / في","Created By / At",System,Required,Audit,"New — §24"
Header,"submitted_by / at","قدّم بواسطة / في","Submitted By / At",System,Conditional,Audit,"New — §24"
Header,"reviewed_by / at","روجع بواسطة / في","Reviewed By / At",System,Conditional,Audit,"New — §24"
Header,"approved_by / at","اعتمد بواسطة / في","Approved By / At",System,Conditional,Audit,"New — §24"
Header,"posted_by / at","رحّل بواسطة / في","Posted By / At",System,Conditional,Audit,"New — §24"
Line,line_id,"معرّف السطر","Line ID",System,Required,"Surrogate primary key",—
Line,line_no,"رقم السطر","Line No.",System,Required,"Sequential within the header","File 2 col A"
Line,account_id,"رمز الحساب","Account Code",User,Required,"Must be posting and active","File 1 cols G, I"
Line,debit,مدين,Debit,User,Conditional,"Integer IQD; one side only","File 1 col K"
Line,credit,دائن,Credit,User,Conditional,"Integer IQD; one side only","File 1 col L"
Line,project_id,المشروع,Project,User,Required,"One of four values","File 1 col C"
Line,cost_center_id,"مركز التكلفة","Cost Center",User,Required,"One of nineteen values","File 1 col D"
