"Rule ID","Transaction Type",Condition,"Debit account selector","Credit account selector","Mandatory dimensions","Blocking controls"
PR-01,TT-01,"Funding instrument classified as a shareholder loan",111001|111002|111003|111010|111011,221001|221002|221003|221004,"project, cost_center, shareholder_id, cash_account_id, funding_source","VR-01, VR-06, VR-08"
PR-02,TT-01,"Funding instrument classified as a shareholder current account",111001|111002|111003|111010|111011,222001|222002|222003|222004,"project, cost_center, shareholder_id, cash_account_id","VR-01, VR-06, VR-08"
PR-03,TT-01,"Funding instrument classified as a capital contribution pending registration",111001|111002|111003|111010|111011,310010,"project, cost_center, shareholder_id, cash_account_id","VR-01, VR-06, VR-08"
PR-04,TT-02,"Shareholder pays a vendor directly — cost is capitalisable","115001…115099 (posting accounts only)",221001|221002|221003|221004,"project, cost_center, shareholder_id, counterparty_id, capex_opex=CAPEX, asset_class, handover_req","VR-01, VR-08, VR-11, VR-38"
PR-05,TT-02,"Shareholder pays a vendor directly — cost is operating or administrative","510010…510019 | 610001…610019",221001|221002|221003|221004,"project, cost_center, shareholder_id, counterparty_id, capex_opex=OPEX","VR-01, VR-08, VR-11"
PR-06,TT-03,"Board has approved recognition of a non-shareholder funder","111002 | final economic account",211090,"project, cost_center, counterparty_id, approval_ref","VR-01, VR-08, VR-21"
PR-07,TT-07,"Advance issued to a named custodian",112010|112020|112021|112030|112032|112035|112037,111001|111002|111003|111010|111011,"project, cost_center, resp_center, advance_holder_id, cash_account_id, settlement_deadline","VR-01, VR-06, VR-07, VR-25"
PR-08,TT-08,"Sub-advance out of an existing custody",112010,112030|112032|112035|112037,"project, cost_center, resp_center, advance_holder_id","VR-01, VR-07, VR-25"
PR-09,TT-09,"Advance settled to a capitalisable project cost","115001…115099 (posting accounts only) | 116001 | 118001…118009",112010|112020|112021|112030|112032|112035|112037,"project, cost_center, resp_center, advance_holder_id, counterparty_id, capex_opex, asset_class, handover_req, document_ref","VR-01, VR-13, VR-26, VR-27, VR-38"
PR-10,TT-10,"Advance settled to an operating or administrative cost","510010…510019 | 610001…610019",112010|112030|112032|112035|112037,"project, cost_center, resp_center, advance_holder_id, counterparty_id, capex_opex=OPEX, document_ref","VR-01, VR-13, VR-26, VR-27"
PR-11,TT-12,"Custody spend determined to be personally recoverable",112101|112102,112030|112032|112035|112037,"project, cost_center, resp_center, advance_holder_id, approval_ref","VR-01, VR-26, VR-28"
PR-12,TT-13,"Unused custody cash returned",111001|111002|111003|111010|111011,112010|112020|112021|112030|112032|112035|112037,"project, cost_center, advance_holder_id, cash_account_id","VR-01, VR-06, VR-26"
PR-13,TT-14,"Advance to a contractor or supplier",112020|112021,"111001|111002|111003|111010|111011 | 221001…221004","project, cost_center, counterparty_id, contract_id, funding_batch_id","VR-01, VR-08, VR-29"
PR-14,TT-15,"Certified work approved","115001…115099 | 510010…510019",211003,"project, cost_center, counterparty_id, contract_id, work_package_id, capex_opex, document_ref","VR-01, VR-08, VR-29, VR-31"
PR-15,TT-16,"Advance recovered from a certificate",211003,112020|112021,"counterparty_id, contract_id, project","VR-01, VR-32"
PR-16,TT-17,"Retention withheld",211003,211004,"counterparty_id, contract_id, project","VR-01, VR-33"
PR-17,TT-18,"Net payment to a contractor or supplier",211001|211002|211003,111001|111002|111003|111010|111011,"counterparty_id, contract_id, cash_account_id, project, cost_center","VR-01, VR-06, VR-08, VR-34"
PR-18,TT-19,"Supplier invoice recognised","115001…115099 | 118001…118009 | 510010…510019 | 610001…610019",211001,"project, cost_center, counterparty_id, capex_opex, document_ref","VR-01, VR-08, VR-13, VR-35"
PR-19,TT-20,"Acquisition advance for a project interest",116001,112030|111001…111011|221001…221004,"project=PRJ-02, cost_center, counterparty_id, approval_ref","VR-01, VR-36"
PR-20,TT-21,"Acquisition completed",116002|116011,116001,"project=PRJ-02, counterparty_id, approval_ref","VR-01, VR-37"
PR-21,TT-23,"Transfer to the concession right at commercial operation",117001|117002,115001…115099,"project, asset_class, approval_ref","VR-01, VR-39"
PR-22,TT-24,"Amortization of the concession right",610017,117011|117012,project,"VR-01, VR-39, VR-40"
PR-23,TT-26,"Depreciation of retained assets",610016,118011,"cost_center, project","VR-01, VR-41"
PR-24,TT-27,"Operating revenue earned",111001…111011|112001,410001…410009,"project, cost_center, revenue_eligibility_flag","VR-01, VR-22, VR-42"
PR-25,TT-28,"Government share on eligible revenue for the period",510001,213001,"project, period, gov_share_rate_param","VR-01, VR-43, VR-44"
PR-26,TT-29,"Government share paid",213001,111001…111011,"counterparty_id, cash_account_id","VR-01, VR-06, VR-34"
PR-27,TT-30,"Expense accrued",510010…510019|610001…610019,211010|211011,"project, cost_center, period","VR-01, VR-45"
PR-28,TT-32,"Cash shortfall with no established cause",112090,112030|112032|112035|112037|111001…111011,"project, cost_center, resp_center, advance_holder_id","VR-01, VR-47"
PR-29,TT-33,"Suspense cause established","final account per evidence",112090,"all dimensions of the final account, resolution_ref","VR-01, VR-48"
PR-30,TT-34,"Approved account correction","correct account","originally debited account","original dimensions, linked_jv_id, approval_ref","VR-01, VR-49, VR-50"
PR-31,TT-37,"Shareholder loan repaid in cash",221001…221004,111001…111011,"shareholder_id, cash_account_id, approval_ref","VR-01, VR-06, VR-20"
PR-32,TT-37,"Shareholder loan converted to equity",221001…221004,310010,"shareholder_id, approval_ref","VR-01, VR-20"
PR-33,TT-06,"Transfer between two cash accounts",111001…111011,111001…111011,"project, cost_center, both cash_account_id","VR-01, VR-06, VR-23, VR-24"
PR-34,TT-05,"Direct payment from a safe or bank with immediate cost recognition",115001…115099|118001…118009|510010…510019|610001…610019|211001…211090,111001…111011,"project, cost_center, counterparty_id, cash_account_id, capex_opex, document_ref","VR-01, VR-06, VR-08, VR-13"
PR-35,TT-38,"Year-end result transfer",310040|310030,310030|310040,fiscal_year,"VR-01, VR-53"
