"Account Code","Account (EN)","Account (AR)","Account Group","FS Line ID",Statement,"FS Line (EN)","FS Line (AR)",Sign,"Display order","Normal balance",Active
111001,"Administrative Cash Box","صندوق نقدي إداري","Cash & Banks",SFP-A-010,SFP,"Cash & Banks","النقد والمصارف",1,10,Dr,Active
111002,"Yousfia exchane yard  Project Safe","خزنة مشروع ساحة التبادل ( اليوسفية )","Cash & Banks",SFP-A-010,SFP,"Cash & Banks","النقد والمصارف",1,10,Dr,Active
111003,"Rashdia exchange yard safe  Project Safe","خزنة مشروع ساحة التبادل ( الراشدية )","Cash & Banks",SFP-A-010,SFP,"Cash & Banks","النقد والمصارف",1,10,Dr,Active
111010,"Bank Account – Main","حساب مصرفي - رئيسي","Cash & Banks",SFP-A-010,SFP,"Cash & Banks","النقد والمصارف",1,10,Dr,Active
111011,"Bank Account – Secondary","حساب مصرفي - ثانوي","Cash & Banks",SFP-A-010,SFP,"Cash & Banks","النقد والمصارف",1,10,Dr,Active
111020,"Cash in Transit","نقد قيد التحويل","Cash & Banks",SFP-A-010,SFP,"Cash & Banks","النقد والمصارف",1,10,Dr,Active
111030,"Petty Cash","مصروف نثري (سلفة مستديمة)","Cash & Banks",SFP-A-010,SFP,"Cash & Banks","النقد والمصارف",1,10,Dr,Active
111040,"Undeposited Collections","متحصلات غير مودعة","Cash & Banks",SFP-A-010,SFP,"Cash & Banks","النقد والمصارف",1,10,Dr,Active
112001,"Trade Receivables","ذمم مدينة تجارية","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112010,"Employee Advances","سلف الموظفين","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112020,"Contractor Advances","سلف المقاولين","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112021,"Supplier Advances","سلف الموردين","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112030,"Advance – Abdul Hamid Hailan Hoshy ( Abo sajad )","سلفة عبد الحميد هيلان حوشي ( أبو سجاد )","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112031,"Advance – Abdul Hamid Haylan (Operating)","سلفة عبد الحميد حيلان (تشغيل)","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Inactive
112032,"Advance – Abdul Hamid Haylan (Administrative)","سلفة عبد الحميد حيلان (إدارية)","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112035,"Advance – Yas Jassim Muslem ( Abo Ahmed)","سلفة ياس جاسم مسلم ( أبو احمد )","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112036,"Advance – Yas Jassim (Operating)","سلفة ياس جاسم (تشغيل)","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Inactive
112037,"Advance – Yas Jassim (Administrative)","سلفة ياس جاسم (إدارية)","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112040,"Refundable Deposits","تأمينات مستردة","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112050,"Other Receivables","ذمم مدينة أخرى","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112060,"Employee Custody 01","عهدة موظف 01","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112061,"Employee Custody 02","عهدة موظف 02","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112062,"Employee Custody 03","عهدة موظف 03","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112063,"Employee Custody 04","عهدة موظف 04","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112064,"Employee Custody 05","عهدة موظف 05","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112065,"Employee Custody 06","عهدة موظف 06","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112066,"Employee Custody 07","عهدة موظف 07","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112067,"Employee Custody 08","عهدة موظف 08","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112068,"Employee Custody 09","عهدة موظف 09","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112069,"Employee Custody 10","عهدة موظف 10","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112090,"Suspense & Clearing Account","حساب وسيط وتسوية","Receivables & Advances",SFP-A-020,SFP,"Receivables & Advances","الذمم المدينة والسلف",1,20,Dr,Active
112101,"Personal Receivable – Abdul Hamid Hailan","ذمم مدينة شخصية – عبد الحميد هيلان","Personal Receivables from Individuals",SFP-A-025,SFP,"Personal Receivables from Individuals","الذمم المدينة الشخصية على الأفراد",1,25,Dr,Active
112102,"Personal Receivable – Yas Jassim Muslim","ذمم مدينة شخصية – ياس جاسم مسلم","Personal Receivables from Individuals",SFP-A-025,SFP,"Personal Receivables from Individuals","الذمم المدينة الشخصية على الأفراد",1,25,Dr,Active
113001,"Prepaid Insurance","تأمين مدفوع مقدماً",Prepayments,SFP-A-030,SFP,Prepayments,"المصروفات المدفوعة مقدماً",1,30,Dr,Active
113002,"Prepaid Rent","إيجار مدفوع مقدماً",Prepayments,SFP-A-030,SFP,Prepayments,"المصروفات المدفوعة مقدماً",1,30,Dr,Active
113003,"Prepaid Licenses","رخص مدفوعة مقدماً",Prepayments,SFP-A-030,SFP,Prepayments,"المصروفات المدفوعة مقدماً",1,30,Dr,Active
113004,"Prepaid Services","خدمات مدفوعة مقدماً",Prepayments,SFP-A-030,SFP,Prepayments,"المصروفات المدفوعة مقدماً",1,30,Dr,Active
113009,"Other Prepayments","مصروفات أخرى مدفوعة مقدماً",Prepayments,SFP-A-030,SFP,Prepayments,"المصروفات المدفوعة مقدماً",1,30,Dr,Active
115001,"Land Acquisition Cost – Government-Owned Project Site","كلفة اقتناء أرض موقع المشروع المملوك للدولة","Concession Assets under Construction",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115002,"Land Registration & Related Costs","تكاليف تسجيل الأرض وما يتصل بها","Concession Assets under Construction",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115010,"Site Preparation","تهيئة الموقع","Concession Assets under Construction",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115020,"External Road Works","أعمال الطرق الخارجية","Concession Assets under Construction",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115021,"Internal Roads","الطرق الداخلية","Concession Assets under Construction",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115022,"Sub base Yard & Parking Infrastructure","الحصى الخابط بنية الساحات والمواقف","Concession Assets under Construction",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115031,"Buildings & Facilities","المباني والمرافق","Concession Assets under Construction",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115032,"Earthworks, Excavation & Site Grading","الأعمال الترابية والحفريات وتسوية الموقع","Civil Works (Parent)",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115033,"Security Fence & Boundary Walls","السياج الأمني والأسوار المحيطية","Civil Works (Parent)",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115034,"Concrete Works & Foundations","الأعمال الكونكريتية والأسس","Civil Works (Parent)",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115035,"Loading Platforms, Ramps & Civil Structures","منصات التفريغ والرامبات والمنشآت المدنية","Civil Works (Parent)",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
115036,"Stormwater Drainage & Culverts","تصريف مياه الأمطار والعبارات","Civil Works (Parent)",SFP-A-040,SFP,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",1,40,Dr,Active
