"System Field","Arabic UI Label","English UI Label",Module,Definition,"Data Type",Required?,"User Input / System",Validation,Source,Example,"Related Table"
jv_no,"رقم القيد","Journal Entry No.",Journal,"Unique system-generated identifier of the accounting transaction.",VARCHAR(20),Required,System-generated,"Unique per company and fiscal year; gapless sequence","File 1 Journal col A",JV-0001,journal_headers
pv_no,"رقم سند الصرف","Payment Voucher No.",Journal,"Payment voucher reference where the transaction is a disbursement.",VARCHAR(20),Conditional,"User input","Mandatory on TT-05, TT-18, TT-29","File 2 Journal col C",PV-2024-0117,journal_headers
rv_no,"رقم سند القبض","Receipt Voucher No.",Journal,"Receipt voucher reference where the transaction is a collection.",VARCHAR(20),Conditional,"User input","Mandatory on TT-01, TT-04, TT-13","File 2 Journal col D",RV-2024-0042,journal_headers
txn_date,"تاريخ الحركة","Transaction Date",Journal,"The date on which the economic event occurred, exactly as evidenced by the source document.","DATE NULL",Conditional,"User input","Nullable ONLY where date_status is NO DATE IN SOURCE or MISSING; may not exceed the posting date","File 1 Journal col B",2023-05-01,journal_headers
posting_date,"تاريخ الترحيل","Posting Date",Journal,"The date on which the entry is recognised in the ledger; determines the accounting period.","DATE NOT NULL",Required,"System-derived from the selected period, user-adjustable within it","Must fall inside an open period","File 2 Journal col F",2023-05-31,journal_headers
period_id,"الفترة المحاسبية","Accounting Period",Journal,"The monthly accounting period the entry belongs to.","BIGINT FK",Required,System-derived,"Status must be Open at the moment of posting","File 2 Journal cols G and H",2023-05,journal_headers
date_status,"حالة التاريخ","Date Status",Journal,"Whether the source document carried a usable date. Preserves the integrity of the 311 undated historical entries.",VARCHAR(40),Required,"User input / migration","One of OK · NO DATE IN SOURCE — not fabricated · Missing Date · Inconsistent Date","File 1 Journal col N","⚠ NO DATE IN SOURCE — not fabricated",journal_headers
description_ar,البيان,"Description (Arabic)",Journal,"The narration of the transaction, preserved verbatim from the source for migrated entries.",NVARCHAR(MAX),Required,"User input","Minimum 10 characters; may not be edited after posting","File 1 Journal col F","تعزيز من السيد محمد عبد الرضا عيدان الشمري",journal_headers
description_en,"البيان (إنجليزي)","Description (English)",Journal,"English narration, optional for locally captured entries.",NVARCHAR(MAX),Optional,"User input",—,"File 2 Journal col AE","Funding from Mr. Mohammed Al-Shammari",journal_headers
account_id,الحساب,Account,Journal,"The general ledger account debited or credited by the line.","BIGINT FK",Required,"User input","Must be Posting and Active (VR-04)","File 1 Journal cols G and I",111002,journal_lines
debit,مدين,Debit,Journal,"The debit amount of the line in IQD.","DECIMAL(19,0)",Conditional,"User input","Exactly one of debit or credit must be greater than zero","File 1 Journal col K",63118500,journal_lines
credit,دائن,Credit,Journal,"The credit amount of the line in IQD.","DECIMAL(19,0)",Conditional,"User input","Exactly one of debit or credit must be greater than zero","File 1 Journal col L",63118500,journal_lines
project_id,المشروع,Project,Dimensions,"The project the line belongs to.","BIGINT FK",Required,"User input","One of PRJ-01, PRJ-02, PRJ-03, CORP","File 1 Journal col C",PRJ-01,journal_lines
cost_center_id,"مركز التكلفة","Cost Center",Dimensions,"The functional cost centre. Never a vendor.","BIGINT FK",Required,"User input","One of the 19 approved cost centres","File 1 Journal col D",CC-CIVIL,journal_lines
resp_center_id,"مركز المسؤولية","Responsibility Center",Dimensions,"The responsibility centre of the custodian or of management.","BIGINT FK",Conditional,"System-derived for migrated entries, user input thereafter","Mandatory on all advance transactions","File 2 Dimensions",RC-01,journal_lines
counterparty_id,"الطرف المقابل",Counterparty,"Master Data","The external party to the transaction — contractor, supplier, employee, shareholder, government entity or other.","BIGINT FK",Conditional,"User input","Mandatory per accounts.requires_counterparty (VR-08)","File 1 Journal col E · File 2 Journal col V","CN-03 Ard Al-Aamal Company",journal_lines
advance_holder_id,"صاحب العهدة","Advance Holder",Advances,"The named person holding the advance.","BIGINT FK",Conditional,"User input","Mandatory on every line touching an advance account (VR-07)","File 1 Journal col E","P-01 Abdul Hamid Haylan",journal_lines
cash_account_id,"الحساب النقدي","Cash / Bank Account",Cash,"The specific safe, cash box or bank account moved by the line.","BIGINT FK",Conditional,"User input","Mandatory on every line touching 111xxx (VR-06)","File 2 Journal col U","111002 Yousifiya Project Safe",journal_lines
funding_source_id,"مصدر التمويل","Funding Source",Funding,"Who provided the funds behind the transaction.","BIGINT FK",Conditional,"User input","Mandatory on funding and direct-payment transactions","File 2 Journal col R","Shareholder Loan – Al-Shammari",journal_lines
funding_batch_id,"دفعة التمويل","Funding Batch",Funding,"The source reference series entry the transaction belongs to; the unit of every funding reconciliation.","BIGINT FK",Conditional,"User input / migration","Mandatory on funding-chain transactions","File 1 Journal col Q","AMER-1 / ABS-10",journal_lines
funding_category_id,"تصنيف التمويل","Funding Category",Funding,"The approved economic classification of the funding use.","BIGINT FK",Conditional,"User input","One of the eleven approved values","File 1 Journal col AA","PRJ-01 Direct Project Funding",journal_lines
chain_step,"خطوة السلسلة","Funding Chain Step",Controls,"The position of the entry in the funding chain — funding, advance transfer, direct payment, settlement, reclassification or recovery.",VARCHAR(80),Conditional,"System-derived from the transaction type, overridable with approval","One of the twelve approved chain steps; the account pair must match the step","File 1 Journal col Z","3 – SETTLEMENT / تسوية سلفة على حساب المصروف",journal_lines
actual_payment_source,"مصدر الدفع الفعلي","Actual Payment Source",Funding,"The account or entity that physically paid. An audit field only; it never changes the accounting owner of the funding.",NVARCHAR(200),Optional,"User input","Reportable but never used in a posting rule","File 2 Journal col T · Policy 8","Eidan Company bank account",journal_lines
actual_receiver,"المستلم الفعلي","Actual Receiver",Journal,"The person or entity that physically received the funds where different from the recorded counterparty.",NVARCHAR(300),Optional,"User input",—,"File 1 Journal col AC","Amer Essam / عامر عصام",journal_lines
capex_opex,"رأسمالي / تشغيلي","CAPEX / OPEX",Dimensions,"Whether the cost is capitalised or expensed.",VARCHAR(10),Conditional,"User input","Mandatory on all cost lines; must agree with the account class","File 2 Journal col Y",CAPEX,journal_lines
asset_class,"تصنيف الأصل","Asset Class","Concession & CIP","The asset family the cost belongs to.",VARCHAR(40),Conditional,"User input","One of Concession CIP · Concession Right · Fixed Asset (Retained) · Advance · Expense · Payable · Receivable · n/a","File 2 Journal col Z · _lists","Concession CIP",journal_lines
handover_req,"متطلب التسليم","Handover Requirement","Concession & CIP","Whether the asset is government-titled, must be handed over at expiry, is retained by SHH or is pending classification.",VARCHAR(40),Conditional,"User input","Mandatory on 115xxx and 118xxx lines","File 2 Journal col AA · Policy 6","Handover Required at Expiry",journal_lines
