Control,Measure,"Source value (authoritative workbook)","System measurement","Acceptance condition"
MC-01,"Record count — journal entries","1,195","journal_headers where is_migration = 1","Must equal"
MC-02,"Record count — journal lines","2,390","journal_lines of migrated headers","Must equal 2 × 1,195"
MC-03,"Total debit","83,989,216,460",SUM(journal_lines.debit),"Must equal"
MC-04,"Total credit","83,989,216,460",SUM(journal_lines.credit),"Must equal"
MC-05,"Debit − Credit",0,"SUM(debit) − SUM(credit)","Must be zero"
MC-06,"Net debit balances","38,150,397,980","SUM of debit-balance accounts","Must equal"
MC-07,"Net credit balances","38,150,397,980","SUM of credit-balance accounts","Must equal"
MC-08,"Account balances — line by line","Source trial balance, 145 accounts","System trial balance per account","Every account must agree to the dinar"
MC-09,"Distinct accounts used",57,"COUNT(DISTINCT account_id) in migrated lines","Must equal"
MC-10,"Cash account 111002 movement","Dr 36,391,971,980 / Cr 36,391,971,980","Account ledger of 111002","Must equal; closing nil"
MC-11,"Shareholder loan 221001","Cr 38,043,476,980","Account ledger of 221001","Must equal"
MC-12,"Contractor advances 112020","Dr 21,515,766,000 / Cr 1,000,000,000 / net 20,515,766,000","Account ledger of 112020","Must equal"
MC-13,"Advance 112030","Dr 4,467,232,250 / Cr 4,467,232,250 / net 0","Account ledger of 112030","Must equal"
MC-14,"Advance 112035","Dr 3,979,086,000 / Cr 4,078,882,000 / net credit 99,796,000","Account ledger of 112035","Must equal — the open difference must survive migration intact"
MC-15,"Personal receivables","112101 = 62,528,000 · 112102 = 803,206,750","Account ledgers","Must equal"
MC-16,"Concession CIP total","8,402,056,980","Sum of 115xxx debit balances","Must equal"
MC-17,"Land account 115001","3,050,000,000","Account ledger of 115001","Must equal — the File 2 figure of 6,800,000,000 must NOT appear"
MC-18,"Concession right 117001","3,200,000,000","Account ledger of 117001","Must equal"
MC-19,"Acquisition advances 116001","2,658,630,000","Account ledger of 116001","Must equal"
MC-20,"Retained fixed assets","189,896,000","Sum of 118xxx debit balances","Must equal"
MC-21,"Direct operating costs","184,546,000","Sum of 510xxx balances","Must equal"
MC-22,"Administrative expenses","2,121,231,500 net","Sum of 610xxx balances","Must equal"
MC-23,"Other payables 211090","Cr 7,125,000","Account ledger of 211090","Must equal"
MC-24,"Project totals","PRJ-01 1,159 entries · PRJ-02 20 · PRJ-03 16","COUNT by project","Must equal"
MC-25,"Dated vs undated entries","884 dated · 311 undated","COUNT by date_status","Must equal — no date invented"
MC-26,"Duplicate flags","70 possible + 6 manual review · value at risk 700,595,000",duplicate_flags,"Must equal"
MC-27,"Exceptions carried","All File 1 exception rows","exceptions where status = Open","No exception may be missing or pre-closed"
MC-28,"Example rows from File 2",0,"journal lines sourced from File 2 sample data","Must be zero"
MC-29,"Funding control K1","38,043,476,980","RPT-11 total funding","Must equal"
MC-30,"Funding control K4 open difference","−99,796,000","RPT-20 chain control","Must equal — must not be forced to zero"
