"Parameter ID","Parameter (EN)","المعامل (عربي)",Value,Source
PARAM-001,"Legal Entity","الكيان القانوني","Shams Al-Haylan Company / شركة شمس الهيلان","File 2 Setup"
PARAM-002,"Entity Code","رمز الكيان",SHH-01,"File 2 Setup"
PARAM-003,"Operating Model","النموذج التشغيلي","Concession — joint operation with State Company for Land Transport","File 2 Setup"
PARAM-004,"Reporting Currency","عملة التقرير",IQD,"File 2 Setup"
PARAM-005,"Presentation Units","وحدة العرض","Absolute IQD, no decimals","File 2 Setup / Policies"
PARAM-006,"FX Rate (IQD per USD)","سعر الصرف",1460,"File 2 Setup"
PARAM-007,"Government Share %","نسبة حصة الحكومة",0.20,"File 2 Setup / Policy 14"
PARAM-008,"Contract Initial Term (years)","المدة الابتدائية للعقد",10,"File 2 Setup / Contract Register"
PARAM-009,"Commercial Operation Date","تاريخ التشغيل التجاري","To be defined / يُحدد لاحقاً — MUST NOT be invented by the system","File 2 Setup"
PARAM-010,"Accounting Start","بداية المحاسبة","May 2023 / أيار 2023","File 2 Setup"
PARAM-011,"Government Counterparty","الجهة الحكومية","State Company for Land Transport / الشركة العامة للنقل البري","File 2 Policies"
PARAM-012,"Amortization Start Rule","قاعدة بدء الإطفاء","Amortization starts ONLY at the commercial operation date, never during construction","File 2 Policy 5"
PARAM-013,"Suspense Account","الحساب الوسيط",112090,"File 1 COA"
PARAM-014,"Retention % default","نسبة المحتجزات الافتراضية","To be defined from signed contracts / يُحدد من العقود الموقعة","File 2 Contractors Ledger"
PARAM-015,"Base Cash Account for PRJ-01","الحساب النقدي الأساسي للمشروع الأول",111002,"File 1 Journal Ledger"
