"Group Code","Name (EN)","Name (AR)","Account Type","Source"
111000,"Cash & Banks","النقد والمصارف",Asset,"Document A Appendix A"
112000,"Receivables & Advances","الذمم المدينة والسلف",Asset,"Document A Appendix A"
113000,"Prepayments","المصروفات المدفوعة مقدماً",Asset,"Document A Appendix A"
115000,"Concession Assets under Construction","أصول الامتياز قيد الإنشاء",Asset,"Document A Appendix A"
116000,"Investments & Project Interest Acquisitions","الاستثمارات والاستحواذ على حصص المشاريع",Asset,"Document A Appendix A"
117000,"Concession Rights & Amortization","حقوق الامتياز والإطفاء",Asset,"Document A Appendix A"
118000,"Retained Fixed Assets","الأصول الثابتة المحتفظ بها",Asset,"Document A Appendix A"
211000,"Current Liabilities","الالتزامات المتداولة",Liability,"Document A Appendix A"
213000,"Government Liabilities","الالتزامات الحكومية",Liability,"Document A Appendix A"
221000,"Shareholder Loans","قروض المساهمين",Liability,"Document A Appendix A"
222000,"Shareholder Current Accounts","الحسابات الجارية للمساهمين",Liability,"Document A Appendix A"
310000,"Equity","حقوق الملكية",Equity,"Document A Appendix A"
410000,"Revenue","الإيرادات",Revenue,"Document A Appendix A"
510000,"Direct Operating Costs","التكاليف التشغيلية المباشرة",Expense,"Document A Appendix A"
610000,"Administrative Expenses","المصروفات الإدارية",Expense,"Document A Appendix A"
