"Chain Step","Debit selector","Credit selector","Source"
CS-1F,"111001-111040","221001-221004","Document B §2.6 Step 1"
CS-1FA,"111001-111040|116001","221001-221004","Document B §2.6 Step 1 (PRJ-02 acquisition)"
CS-1DB,"@final_economic","221001-221004","Document B §2.6 Step 1 (direct to beneficiary)"
CS-2AT,"112020|112030|112032|112035|112037","111001-111040","Document B §2.6 Step 2 advance transfer"
CS-2DP,"@final_economic","111001-111040","Document B §2.6 Step 2 direct payment"
CS-2SA,"112010","112030|112032|112035|112037","Document B §2.6 Step 2b sub-advance"
CS-2RR,"@final_economic","111001-111040|112020","Document B §2.6 Step 2 recycled recovery"
CS-3S,"115001-115099|116001|118001-118009|510010-510019|610001-610019","112010|112020|112021|112030|112032|112035|112037","Document B §2.6 Step 3 settlement"
CS-3SA,"116001|116002|116011","112010|112020|112021|112030|112032|112035|112037","Document B §2.6 Step 3 settlement (PRJ-02 acquisition)"
CS-XRC,"112101|112102","112030|112032|112035|112037","Document B §2.6 Step X reclassification"
CS-XSS,"112090","112030|112032|112035|112037|111001-111040","Document B §2.6 Step X shortfall"
CS-R,"111001-111040","112020","Document B §2.6 Step R recovery"
