Column,Field,"Source"
A,jv_no,"Document C 11_Journal_Fields"
B,txn_date,"Document C 11_Journal_Fields"
C,project,"Document C 11_Journal_Fields"
D,cost_center,"Document C 11_Journal_Fields"
E,counterparty,"Document C 11_Journal_Fields (funding recipient / advance holder)"
F,description_ar,"Document C 11_Journal_Fields"
G,debit_account,"Document C 11_Journal_Fields (Dr Acct Code)"
I,credit_account,"Document C 11_Journal_Fields (Cr Acct Code)"
K,debit,"Document C 11_Journal_Fields"
L,credit,"Document C 11_Journal_Fields"
N,date_status,"Document C 11_Journal_Fields"
O,notes,"Document C 11_Journal_Fields"
P,source_presence,"Document C 11_Journal_Fields"
Q,source_reference,"Document C 11_Journal_Fields"
R,recon_status,"Document C 11_Journal_Fields"
S,source_amount,"Document C 11_Journal_Fields"
T,amount_difference,"Document C 11_Journal_Fields"
U,duplicate_review,"Document C 11_Journal_Fields"
V,amer_match_ref_1,"Document C 11_Journal_Fields"
W,amer_match_ref_2,"Document C 11_Journal_Fields"
X,amer_match_ref_3,"Document C 11_Journal_Fields"
Y,date_comparison,"Document C 11_Journal_Fields"
Z,chain_step,"Document C 11_Journal_Fields"
AA,funding_category,"Document C 11_Journal_Fields"
AB,linked_jv_no,"Document C 11_Journal_Fields"
AC,actual_receiver,"Document C 11_Journal_Fields"
